name,latin
Mäusebussard,Buteo buteo
Rotmilan,Milvus milvus
Braunpelikan,Pelecanus occidentalis
Zwergsultanshuhn,Porphyrio martinicus
Kiefernkreuzschnabel,Loxia pytyopsittacus
Arielfregattvogel,Fregata ariel
Gelbbrust-Waldsänger,Icteria virens
Schopfwachtel,Callipepla californica
Nebelkrähe,Corvus corone
Rotkehlchen,Erithacus rubecula
Weißwangenreiher,Egretta novaehollandiae
Spitzschopftaube,Ocyphaps lophotes
Schwarzschwan,Cygnus atratus
Baumfalke,Falco subbuteo
Gartenfächerschwanz,Rhipidura leucophrys
Eleonorenfalke,Falco eleonorae
Weißbauch-Schwalbenstar,Artamus leucorynchus
Steinkauz,Athene noctua
Spottdrossel,Mimus polyglottos
Wiesenweihe,Circus pygargus
Wespenbussard,Pernis apivorus
Mississippiweih,Ictinia mississippiensis
Stockente,Anas platyrhynchos
Zitronenwaldsänger,Protonotaria citrea
Rotschwanzkuckuck,Chrysococcyx basalis
Drosseluferläufer,Actitis macularius
Papstfink,Passerina ciris
Dachsammer,Zonotrichia leucophrys
Wasseramsel,Cinclus cinclus
Lachmöwe,Chroicocephalus ridibundus
Uferschnepfe,Limosa limosa
Zwergdommel,Ixobrychus minutus
Trauerseeschwalbe,Chlidonias niger
Schwanzmeise,Aegithalos caudatus
Fichtenkreuzschnabel,Loxia curvirostra
Rosakakadu,Eolophus roseicapilla
Forsterseeschwalbe,Sterna forsteri
Keilschwanz-Regenpfeifer,Charadrius vociferus
Rosaflamingo,Phoenicopterus roseus
Nachtigall,Luscinia megarhynchos
Habichtsadler,Aquila fasciata
Reisstärling,Dolichonyx oryzivorus
Schornsteinsegler,Chaetura pelagica
Lappenente,Biziura lobata
Heckenbraunelle,Prunella modularis
Gänsegeier,Gyps fulvus
Virginiawachtel,Colinus virginianus
Augenbrauenente,Anas superciliosa
Kanadakleiber,Sitta canadensis
Rosalöffler,Platalea ajaja
Graukopfnonne,Lonchura caniceps
Hausrotschwanz,Phoenicurus ochruros
Kräuselscharbe,Microcarbo melanoleucos
Carolinataube,Zenaida macroura
Basstölpel,Morus bassanus
Kappensäger,Lophodytes cucullatus
Buntfalke,Falco sparverius
Eisvogel,Alcedo atthis
Katzenvogel,Dumetella carolinensis
Kanadareiher,Ardea herodias
Präriemöwe,Leucophaeus pipixcan
Wegekuckuck,Geococcyx californianus
Inkatäubchen,Scardafella inca
Kakapo,Strigops habroptila
Amsel,Turdus merula
Wintergoldhähnchen,Regulus regulus
Kampfläufer,Calidris pugnax
Nymphensittich,Nymphicus hollandicus
Helmspecht,Dryocopus pileatus
Eulenschwalm,Podargus strigoides
Braunkopf-Kuhstärling,Molothrus ater
Singammer,Melospiza melodia
Kanadagans,Branta canadensis
Teichhuhn,Gallinula chloropus
Silberreiher,Ardea alba
Schwarzkopf-Ruderente,Oxyura jamaicensis
Löffelente,Spatula clypeata
Weisshalsrabe,Corvus cryptoleucus
Jägerliest,Dacelo novaeguineae
Gartenbaumläufer,Certhia brachydactyla
Graumantel-Brillenvogel,Zosterops lateralis
Weidengelbkehlchen,Geothlypis trichas
Steinadler,Aquila chrysaetos
Glanzfleckdrongo,Dicrurus bracteatus
Kuckuck,Cuculus canorus
Inkakakadu,Cacatua leadbeateri
Zedernseidenschwanz,Bombycilla cedrorum
Rubingoldhähnchen,Regulus calendula
Gelbkehl-Spornammer,Calcarius ornatus
Brillenstärling,Xanthocephalus xanthocephalus
Lazulifink,Passerina amoena
Amerikanerkrähe,Corvus brachyrhynchos
Präriebussard,Buteo swainsoni
Winterammer,Junco hyemalis
Gelbbauch-Saftlecker,Sphyrapicus varius
Gelbschnabelkuckuck,Coccyzus americanus
Mauersegler,Apus apus
Korallenmöwe,Ichthyaetus audouinii
