name,latin
Blaukehlchen,Luscinia svecica
Zwergtrappe,Tetrax tetrax
Spatelente,Bucephala islandica
Tannenmeise,Periparus ater
Cassingimpel,Haemorhous cassinii
Bienenfresser,Merops apiaster
Prachttaucher,Gavia arctica
Stieglitz,Carduelis carduelis
Neuhollandkrähe,Corvus coronoides
Mäusebussard,Buteo buteo
Rotmilan,Milvus milvus
Braunpelikan,Pelecanus occidentalis
Zwergsultanshuhn,Porphyrio martinicus
Kiefernkreuzschnabel,Loxia pytyopsittacus
Arielfregattvogel,Fregata ariel
Gelbbrust-Waldsänger,Icteria virens
Schopfwachtel,Callipepla californica
Nebelkrähe,Corvus corone
Rotkehlchen,Erithacus rubecula
Weißwangenreiher,Egretta novaehollandiae
Spitzschopftaube,Ocyphaps lophotes
Schwarzschwan,Cygnus atratus
Baumfalke,Falco subbuteo
Gartenfächerschwanz,Rhipidura leucophrys
Eleonorenfalke,Falco eleonorae
Weißbauch-Schwalbenstar,Artamus leucorynchus
Steinkauz,Athene noctua
Spottdrossel,Mimus polyglottos
Wiesenweihe,Circus pygargus
Wespenbussard,Pernis apivorus
Mississippiweih,Ictinia mississippiensis
Stockente,Anas platyrhynchos
Zitronenwaldsänger,Protonotaria citrea
Rotschwanzkuckuck,Chrysococcyx basalis
Drosseluferläufer,Actitis macularius
Papstfink,Passerina ciris
Dachsammer,Zonotrichia leucophrys
Wasseramsel,Cinclus cinclus
Lachmöwe,Chroicocephalus ridibundus
Uferschnepfe,Limosa limosa
Zwergdommel,Ixobrychus minutus
Trauerseeschwalbe,Chlidonias niger
Schwanzmeise,Aegithalos caudatus
Fichtenkreuzschnabel,Loxia curvirostra
Rosakakadu,Eolophus roseicapilla
Forsterseeschwalbe,Sterna forsteri
Keilschwanz-Regenpfeifer,Charadrius vociferus
Rosaflamingo,Phoenicopterus roseus
Nachtigall,Luscinia megarhynchos
Habichtsadler,Aquila fasciata
Reisstärling,Dolichonyx oryzivorus
Schornsteinsegler,Chaetura pelagica
Lappenente,Biziura lobata
Heckenbraunelle,Prunella modularis
Gänsegeier,Gyps fulvus
Virginiawachtel,Colinus virginianus
Augenbrauenente,Anas superciliosa
Kanadakleiber,Sitta canadensis
Rosalöffler,Platalea ajaja
Graukopfnonne,Lonchura caniceps
Hausrotschwanz,Phoenicurus ochruros
Kräuselscharbe,Microcarbo melanoleucos
Carolinataube,Zenaida macroura
Basstölpel,Morus bassanus
Kappensäger,Lophodytes cucullatus
Buntfalke,Falco sparverius
Eisvogel,Alcedo atthis
Katzenvogel,Dumetella carolinensis
Kanadareiher,Ardea herodias
Präriemöwe,Leucophaeus pipixcan
Wegekuckuck,Geococcyx californianus
Inkatäubchen,Scardafella inca
Kakapo,Strigops habroptila
Amsel,Turdus merula
Wintergoldhähnchen,Regulus regulus
Kampfläufer,Calidris pugnax
Nymphensittich,Nymphicus hollandicus
Helmspecht,Dryocopus pileatus
Eulenschwalm,Podargus strigoides
Braunkopf-Kuhstärling,Molothrus ater
Singammer,Melospiza melodia
Kanadagans,Branta canadensis
Teichhuhn,Gallinula chloropus
Silberreiher,Ardea alba
Schwarzkopf-Ruderente,Oxyura jamaicensis
Löffelente,Spatula clypeata
Weisshalsrabe,Corvus cryptoleucus
Jägerliest,Dacelo novaeguineae
Gartenbaumläufer,Certhia brachydactyla
Graumantel-Brillenvogel,Zosterops lateralis
Weidengelbkehlchen,Geothlypis trichas
Steinadler,Aquila chrysaetos
Glanzfleckdrongo,Dicrurus bracteatus
Kuckuck,Cuculus canorus
Inkakakadu,Cacatua leadbeateri
Zedernseidenschwanz,Bombycilla cedrorum
Rubingoldhähnchen,Regulus calendula
Gelbkehl-Spornammer,Calcarius ornatus
Brillenstärling,Xanthocephalus xanthocephalus
Lazulifink,Passerina amoena
Amerikanerkrähe,Corvus brachyrhynchos
Präriebussard,Buteo swainsoni
Winterammer,Junco hyemalis
Gelbbauch-Saftlecker,Sphyrapicus varius
Gelbschnabelkuckuck,Coccyzus americanus
Mauersegler,Apus apus
Korallenmöwe,Ichthyaetus audouinii
Carolinaspecht,Melanerpes carolinus
Drosseluferläufer,Actitis macularius
Zwergkleiber,Sitta pygmaea
Schwirrammer,Spizella passerina
Grünreiher,Butorides virescens
Neuntöter,Lanius collurio
Papageitaucher,Fratercula arctica
Rabengeier,Coragyps atratus
Zimtbauch-Phoebetyrann,Sayornis saya
Buntfuß-Sturmschwalbe,Oceanites oceanicus
Goldammer,Emberiza citrinella
Turteltaube,Streptopelia turtur
Klappergrasmücke,Sylvia curruca
Kronwaldsänger,Setophaga coronata
Blauracke,Coracias garrulus
Emu,Dromaius novaehollandiae
Kiefernhäher,Nucifraga columbiana
Weißstorch,Ciconia ciconia
Eistaucher,Gavia immer
Streifenkauz,Strix varia
Fischadler,Pandion haliaetus
Braunmantel-Austernfischer,Haematopus palliatus
Bachstelze,Motacilla alba
Borstenkopf,Psittrichas fulgidus
Purpurstärling,Euphagus cyanocephalus
Präriehuhn,Tympanuchus cupido
Baltimoretrupial,Icterus galbula
Tannenhäher,Nucifraga caryocatactes
Rotsteiß-Mistelfresser,Dicaeum hirundinaceum
Papuahornvogel,Rhyticeros plicatus
Rotkardinal,Cardinalis cardinalis
Fleckenkauz,Strix occidentalis
Heuschreckenammer,Ammodramus savannarum
Zwergpinguin,Eudyptula minor
Weißaugen-Honigfresser,Phylidonyris novaehollandiae
Schwarzbrustwachtel,Coturnix pectoralis
Pappelwaldsänger,Setophaga cerulea
Graurücken-Leierschwanz,Menura novaehollandiae
Horsfieldlerche,Mirafra javanica
Dominikanermöwe,Larus dominicanus
Haubentaucher,Podiceps cristatus
